"x" "y" "times"
0 0 0
162.041887094338 -183.272558500738 5
29.4733422828674 -344.783770713197 10
-34.617680090247 -463.856426769624 15
183.802537347561 -439.612893141783 20
288.884142830643 -302.782116693294 25
391.145950634839 -134.896120396177 30
599.294302236354 -162.482217438196 35
536.989828111236 -349.363154867484 40
723.712567275956 -424.798203652141 45
893.915949512096 -283.883858819466 50
1014.74106096602 -103.122778686415 55
1246.67505774172 -49.1278659412437 60
1409.52183799506 30.3553825360213 65
1599.96883382732 -127.247506744973 70
1513.03045600158 -279.134623571622 75
1286.95943061145 -254.313738272711 80
1083.53474871065 -264.541059305733 85
1064.21044543508 -46.3876832579597 90
872.485044982804 -19.2630482169186 95
779.463495632286 -198.588751050659 100
919.193622015685 -394.738119060545 105
1046.45368065584 -568.18708936109 110
1295.06254045244 -594.427049219919 115
1471.53324854072 -453.521907697602 120
1558.52056115871 -314.462281782662 125
1621.95827403427 -104.979193416077 130
1508.70469391568 89.0923211263892 135
1434.67140062349 -102.421104491204 140
1475.01947958725 -269.436831386528 145
1608.37783486383 -465.088662258109 150
1653.85108227294 -284.350432872908 155
1649.11235565234 -92.3752509781102 160
1528.8636902718 -185.572292356724 165
1709.09878812774 -313.526916165954 170
1476.73590899029 -306.262894945062 175
1277.1280827476 -375.301065650924 180
1318.59910056531 -579.545504659847 185
1446.84710099461 -465.070104827257 190
1425.63936699228 -243.482607619393 195
1204.17721288663 -296.519054739089 200
1017.25441304772 -175.011844393526 205
854.65586605555 -283.160071227223 210
878.193199110875 -425.669115473143 215
1031.49831535912 -311.630068071555 220
994.780271936279 -382.949813879328 225
883.470460109098 -419.349981197063 230
923.061231128628 -217.387556460168 235
793.470601187405 -15.5401625187821 240
827.829190380206 61.819935366577 245
644.338391947933 98.6254442133824 250
409.633075056094 100.341884663575 255
185.634062786921 74.0129139179832 260
30.2414683814585 164.502017597303 265
-164.471982053574 217.522596647207 270
-390.940496549706 167.835643948688 275
-518.582965607587 324.996714674372 280
-357.414985472014 467.461492148936 285
-140.281717294562 586.549353526867 290
84.6503380023113 572.509928213006 295
283.762333653814 575.653150970986 300
487.872628389393 691.495429066044 305
675.926154938227 860.771499282609 310
627.1909627961 1056.17340165631 315
451.769164415604 1195.69777643382 320
460.146739055741 1366.57214938933 325
607.785825314556 1246.14959202632 330
725.86982799251 1059.61974056367 335
893.750223231357 1149.02745405986 340
751.515339850019 1262.80820154886 345
507.752271582836 1262.7317898556 350
458.072796740011 1102.5378596724 355
463.993733861804 857.156044921546 360
355.767463575886 663.815922072913 365
353.638639731481 452.361072457979 370
162.974696059736 394.718655247809 375
285.111420050219 493.438271806914 380
466.767394991733 414.586748777759 385
410.484131982484 609.375275558484 390
556.844284588082 589.965858879133 395
615.948238652008 371.361380743776 400
501.940131973845 289.564117647922 405
329.171430003191 454.438607969411 410
259.253046042483 663.214868605138 415
335.708639771297 836.016548377702 420
557.169769497135 872.972870744927 425
453.362537175388 1023.99152279714 430
477.65500018561 900.55869299787 435
647.862162922389 802.144146341769 440
516.940309649073 588.437563425453 445
551.403543452412 376.381842901131 450
740.324643813096 276.195957863288 455
972.903341873038 288.691878995326 460
1083.18193694592 501.314797098836 465
1276.1199131726 643.241179005902 470
1243.43231149148 865.284623924138 475
1388.07974807282 886.901084587334 480
1540.64007452536 815.877353318514 485
1713.44337840794 917.072060949919 490
1847.47439956444 1089.61968564317 495
2050.60822574167 1017.61633655746 500
